City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
172,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,70,75,5.75,broken clouds
173,Spassk,RU,52.747,87.7545,36.16,96,100,1.03,overcast clouds
174,Souillac,MU,-20.5167,57.5167,71.98,83,75,10.36,broken clouds
175,Qaqortoq,GL,60.7167,-46.0333,43.3,47,6,21.43,clear sky
176,Neuquen,AR,-38.9516,-68.0591,71.49,26,0,9.22,clear sky
177,Somanda,TZ,-3.3667,33.95,82.51,29,92,7.0,overcast clouds
178,Agbor,NG,6.2518,6.1934,77.43,91,84,5.12,light rain
179,Ramshir,IR,30.8946,49.4092,87.66,8,0,5.57,clear sky
180,Muyuka,CM,4.2898,9.4103,78.4,92,94,0.92,overcast clouds
181,Marystown,CA,47.1666,-55.1483,66.4,77,30,14.12,scattered clouds
182,Carlisle,US,40.2015,-77.1889,71.33,93,100,3.06,overcast clouds
183,Harper,LR,4.375,-7.7169,80.71,78,93,8.32,overcast clouds
184,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,6.91,scattered clouds
185,Nizhniy Odes,RU,63.6445,54.856,40.59,82,53,4.36,broken clouds
186,Bardiyah,LY,31.7561,25.0865,76.32,67,2,19.17,clear sky
187,Les Cayes,HT,18.2,-73.75,87.37,63,30,10.0,scattered clouds
188,Kiruna,SE,67.8557,20.2251,40.12,93,75,11.5,moderate rain
189,Abidjan,CI,5.3094,-4.0197,80.56,89,20,13.8,few clouds
190,Tabas,IR,33.5959,56.9244,89.13,10,37,8.12,scattered clouds
191,Jatai,BR,-17.8814,-51.7144,97.5,16,1,8.34,clear sky
192,San Miguel,SV,13.4833,-88.1833,83.86,89,20,2.3,few clouds
193,Agadir,MA,30.4202,-9.5982,77.45,67,98,8.81,overcast clouds
194,Tarko-Sale,RU,64.9225,77.785,35.73,88,100,12.24,overcast clouds
195,Pithiviers,FR,48.1667,2.25,73.49,50,8,2.68,clear sky
196,Nortelandia,BR,-14.4547,-56.8028,109.02,14,23,4.52,few clouds
197,Niteroi,BR,-22.8833,-43.1036,75.09,52,40,12.66,scattered clouds
198,Kasempa,ZM,-13.4584,25.8338,75.49,23,73,5.35,broken clouds
199,Malakal,SS,9.5334,31.6605,79.47,72,18,2.55,few clouds
